id,ime,prezime,email,grad,kategorija,produkt,kolicina,cena_denari,datum,nacin_plakanje
31,Kristina,Ristov,kristina.ristov@mail.mk,Veles,Obleka,Telefon,13,37857.38,2025-01-04,Kartichka
14,Viktor,Jovanov,viktor.jovanov@mail.mk,Kocani,Obleka,Kafe,14,17334.76,2024-10-08,Kartichka
30,Marko,Mladenova,marko.mladenova@mail.mk,Tetovo,Elektronika,Telefon,15,15663.72,2024-12-30,Kesh
10,Teodora,Georgieva,teodora.georgieva@mail.mk,Stip,Sport,Jakna,2,33630.72,2024-05-18,Kartichka
52,Petar,Angelov,petar.angelov@mail.mk,Bitola,Sport,Maica,2,10725.15,2024-03-03,Kartichka
28,Kristina,Angelov,kristina.angelov@mail.mk,Kumanovo,Sport,Topka,8,32380.92,2025-01-05,Kartichka
69,Elena,Jovanov,elena.jovanov@mail.mk,Stip,Sport,Laptop,11,949.86,2024-09-29,Transfer
75,Elena,Stojanova,elena.stojanova@mail.mk,Prilep,Obleka,Laptop,15,31204.1,2024-05-18,Kesh
68,Marko,Stankov,marko.stankov@mail.mk,Strumica,Hrana,Telefon,1,1866.11,2024-11-22,Kartichka
9,Nikola,Mladenova,nikola.mladenova@mail.mk,Veles,Elektronika,Telefon,13,22411.41,2024-06-09,Kartichka
80,Ana,Georgieva,ana.georgieva@mail.mk,Kumanovo,Nameshtaj,Monitor,12,12703.06,2024-12-20,Kartichka
39,Filip,Stankov,filip.stankov@mail.mk,Kocani,Sport,Jakna,13,31104.31,2024-10-13,Kesh
13,Nikola,Ilieva,nikola.ilieva@mail.mk,Kumanovo,Nameshtaj,Monitor,15,34882.59,2024-02-11,Kesh
41,Viktor,Trajkova,viktor.trajkova@mail.mk,Strumica,Sport,Maica,12,11231.98,2024-09-17,Transfer
49,Elena,Stojanova,elena.stojanova@mail.mk,Prilep,Obleka,Laptop,15,31204.1,2024-05-18,Kesh
78,Marko,Stankov,marko.stankov@mail.mk,Strumica,Hrana,Telefon,1,1866.11,2024-11-22,Kartichka
42,Kristina,Dimitrov,kristina.dimitrov@mail.mk,Kumanovo,Sport,Stol,15,22468.65,2024-04-13,Kartichka
53,Marko,Trajkova,marko.trajkova@mail.mk,Kocani,Nameshtaj,Stol,10,5343.15,2024-09-26,Transfer
22,Teodora,Mladenova,teodora.mladenova@mail.mk,Bitola,Elektronika,Jakna,8,19319.73,2024-06-08,Kesh
8,Filip,Ilieva,filip.ilieva@mail.mk,Stip,Obleka,Telefon,2,20574.93,2024-03-25,Kartichka
21,Marko,Stojanova,marko.stojanova@mail.mk,Kumanovo,Sport,Monitor,3,25449.5,2024-06-26,Transfer
25,Dejan,Dimitrov,dejan.dimitrov@mail.mk,Tetovo,Hrana,Topka,13,9067.15,2024-10-04,Transfer
23,Nikola,Stojanova,nikola.stojanova@mail.mk,Tetovo,Obleka,Jakna,14,27743.86,2024-09-21,Kesh
61,Ivana,Ilieva,ivana.ilieva@mail.mk,Prilep,Elektronika,Jakna,3,6469.81,2024-08-16,Kesh
9,Nikola,Mladenova,nikola.mladenova@mail.mk,Veles,Elektronika,Telefon,13,22411.41,2024-06-09,Kartichka
70,Ivana,Mladenova,ivana.mladenova@mail.mk,Prilep,Elektronika,Jakna,13,2990.44,2024-09-14,Transfer
20,Ana,Stojanova,ana.stojanova@mail.mk,Skopje,Sport,Kafe,9,4238.28,2024-07-05,Transfer
56,Marko,Angelov,marko.angelov@mail.mk,Skopje,Elektronika,Laptop,12,20325.03,2024-04-07,Transfer
29,Teodora,Stojanova,teodora.stojanova@mail.mk,Kumanovo,Elektronika,Maica,8,8028.91,2024-04-14,Kartichka
44,Petar,Nikolova,petar.nikolova@mail.mk,Prilep,Elektronika,Kafe,12,25809.63,2024-07-06,Kesh
73,Nikola,Jovanov,nikola.jovanov@mail.mk,Tetovo,Elektronika,Kafe,1,3014.77,2025-01-14,Kartichka
1,Filip,Ristov,filip.ristov@mail.mk,Veles,Elektronika,Telefon,14,21528.1,2024-07-06,Transfer
77,Dejan,Trajkova,dejan.trajkova@mail.mk,Tetovo,Sport,Topka,4,1570.98,2024-06-07,Kesh
2,Ana,Dimitrov,ana.dimitrov@mail.mk,Kumanovo,Elektronika,Telefon,7,16843.25,2024-05-03,Kesh
79,Nikola,Dimitrov,nikola.dimitrov@mail.mk,Ohrid,Sport,Laptop,5,17716.97,2024-11-29,Transfer
82,Teodora,Georgieva,teodora.georgieva@mail.mk,Stip,Sport,Jakna,10,33630.72,2024-03-09,Kartichka
57,Kristina,Nikolova,kristina.nikolova@mail.mk,Stip,Elektronika,Monitor,11,19901.06,2024-07-20,Transfer
16,Ivana,Petrov,ivana.petrov@mail.mk,Stip,Sport,Kafe,5,11420.84,2024-03-15,Kartichka
32,Viktor,Jovanov,viktor.jovanov@mail.mk,Bitola,Hrana,Kafe,3,1296.44,2024-10-29,Kartichka
64,Stefan,Nikolova,stefan.nikolova@mail.mk,Kocani,Elektronika,Telefon,5,32718.36,2024-03-14,Kartichka
24,Stefan,Dimitrov,stefan.dimitrov@mail.mk,Tetovo,Hrana,Laptop,13,21218.76,2024-11-25,Kesh
46,Ivana,Ristov,ivana.ristov@mail.mk,Veles,Sport,Monitor,6,16966.8,2024-07-01,Kartichka
15,Angela,Trajkova,angela.trajkova@mail.mk,Veles,Hrana,Kafe,2,7213.47,2024-04-28,Transfer
36,Angela,Ristov,angela.ristov@mail.mk,Skopje,Obleka,Jakna,11,23417.28,2024-09-21,Kartichka
66,Nikola,Stankov,nikola.stankov@mail.mk,Strumica,Nameshtaj,Topka,12,39392.22,2024-03-17,Kartichka
17,Teodora,Georgieva,teodora.georgieva@mail.mk,Strumica,Obleka,Kafe,12,34396.24,2024-11-12,Transfer
47,Petar,Ilieva,petar.ilieva@mail.mk,Tetovo,Elektronika,Topka,9,18455.1,2024-12-26,Kesh
34,Marko,Ilieva,marko.ilieva@mail.mk,Bitola,Sport,Kafe,7,39464.67,2024-04-09,Kesh
68,Marko,Stankov,marko.stankov@mail.mk,Strumica,Hrana,Telefon,1,1866.11,2024-11-22,Kartichka
19,Bojan,Petrov,bojan.petrov@mail.mk,Kumanovo,Elektronika,Maica,8,6659.67,2024-06-23,Transfer
12,Marko,Mladenova,marko.mladenova@mail.mk,Tetovo,Hrana,Telefon,8,2546.39,2025-01-28,Kartichka
72,Marko,Mladenova,marko.mladenova@mail.mk,Tetovo,Elektronika,Telefon,15,15663.72,2024-12-30,Kesh
33,Nikola,Georgieva,nikola.georgieva@mail.mk,Strumica,Nameshtaj,Topka,3,22036.67,2024-03-08,Kesh
27,Ivana,Nikolova,ivana.nikolova@mail.mk,Kocani,Nameshtaj,Topka,12,1353.41,2024-01-15,Kartichka
50,Angela,Stankov,angela.stankov@mail.mk,Prilep,Nameshtaj,Kafe,9,36783.03,2024-10-19,Kartichka
35,Marko,Angelov,marko.angelov@mail.mk,Kumanovo,Obleka,Maica,13,23540.2,2024-05-12,Transfer
58,Sara,Ilieva,sara.ilieva@mail.mk,Kumanovo,Hrana,Topka,4,33325.0,2024-12-27,Transfer
65,Ana,Jovanov,ana.jovanov@mail.mk,Skopje,Obleka,Stol,11,9465.82,2024-10-26,Transfer
10,Teodora,Georgieva,teodora.georgieva@mail.mk,Stip,Sport,Jakna,2,33630.72,2024-05-18,Kartichka
59,Nikola,Jovanov,nikola.jovanov@mail.mk,Tetovo,Elektronika,Kafe,1,3014.77,2025-01-14,Kartichka
88,Teodora,Ristov,  TEODORA.RISTOV@MAIL.MK  ,Skopje,Obleka,Monitor,2,19090.82,2024-09-14,Transfer
3,Angela,Petrov,angela.petrov@mail.mk,Strumica,Elektronika,Maica,11,25171.84,2024-02-01,Transfer
61,Ivana,Ilieva,ivana.ilieva@mail.mk,Prilep,Elektronika,Jakna,3,6469.81,2024-08-16,Kesh
11,Petar,Petrov,petar.petrov@mail.mk,Prilep,Sport,Jakna,5,28721.79,2024-12-08,Kartichka
40,Ivana,Nikolova,ivana.nikolova@mail.mk,Prilep,Elektronika,Telefon,9,18196.6,2024-01-15,Kesh
26,Filip,Stankov,filip.stankov@mail.mk,Kumanovo,Sport,Maica,13,9727.63,2024-07-24,Transfer
12,Marko,Mladenova,marko.mladenova@mail.mk,Tetovo,Hrana,Telefon,8,2546.39,2025-01-28,Kartichka
16,Ivana,Petrov,ivana.petrov@mail.mk,Stip,Sport,Kafe,5,11420.84,2024-03-15,Kartichka
87,Kristina,Angelov,  KRISTINA.ANGELOV@MAIL.MK  ,Kumanovo,Sport,Topka,8,32380.92,2025-01-05,Kartichka
84,Nikola,Jovanov,nikola.jovanov@mail.mk,Bitola,Nameshtaj,Jakna,1,3087.33,2024-09-05,Kartichka
60,Angela,Ristov,angela.ristov@mail.mk,Skopje,Elektronika,Monitor,14,20336.53,2024-05-24,Transfer
37,Nikola,Dimitrov,nikola.dimitrov@mail.mk,Ohrid,Sport,Laptop,14,17716.97,2024-04-03,Transfer
67,Nikola,Petrov,nikola.petrov@mail.mk,Kocani,Nameshtaj,Kafe,15,21045.54,2024-09-15,Transfer
83,Bojan,Petrov,bojan.petrov@mail.mk,Kumanovo,Elektronika,Maica,1,6659.67,2024-09-03,Transfer
38,Marko,Ristov,marko.ristov@mail.mk,Ohrid,Hrana,Jakna,10,29062.69,2024-10-11,Kesh
